name,a1,p1,r1,f1,ba1,a2,p2,r2,f2,ba2,a3,p3,r3,f3,ba3,a4,p4,r4,f4,ba4,a5,p5,r5,f5,ba5
twibot-2020,0.8165680473372781,0.7467911318553092,1.0,0.8550434201736806,0.8001841620626151,0.8165680473372781,0.7467911318553092,1.0,0.8550434201736806,0.8001841620626151,0.8165680473372781,0.7467911318553092,1.0,0.8550434201736806,0.8001841620626151,0.8055790363482671,0.7556109725685786,0.946875,0.8404993065187241,0.7929586786372007,0.8106508875739645,0.7587064676616916,0.953125,0.8448753462603878,0.7979252992633518
feedback-2019,0.7533793876026886,0.7705882352941177,0.197642458743028,0.29181495923431405,0.5803194872112353,0.7514936519790888,0.6922619047619047,0.22985956420904027,0.31873053504932064,0.5817285234865949,0.7976288274831964,0.6913725490196078,0.4611405835543766,0.5484280742073914,0.6919804656873623,0.7726848394324123,0.6104473304473303,0.48959342801448064,0.526852768156578,0.6859586930545336,,,,,
rtbust-2019,0.6781284461481909,0.6383383770494222,0.8514293793061398,0.7288490005748623,0.6742018471873166,0.6506222759019062,0.6726088757263133,0.6673239814510943,0.6585342871071489,0.6592523751372806,0.6869295804232526,0.668522988572813,0.7577145503117156,0.7078129228718388,0.6846436251945772,0.7054455705508585,0.6869592656339643,0.79689976552222,0.7331508186700617,0.7084600242854879,,,,,
pan-2019,0.8936851441241686,0.9450566570632217,0.8359917337578793,0.887119319978293,0.8937532757955102,0.9160251293422025,0.9594238113692833,0.8687888149845682,0.911784252197194,0.915908395212759,0.9276821877309681,0.9363024454033905,0.9180770932728416,0.9269781941543236,0.9276979326365327,0.9342468588322248,0.9543982657673438,0.9129046731605184,0.9330683792715465,0.9342069835575749,,,,,
midterm-2018,0.9746328999663323,0.9835985015617282,0.9862398041581452,0.9849159143208818,0.9500158135945502,0.9834579613594905,0.9875902075993416,0.9927892110120714,0.9901782080017659,0.9636288462792626,0.986307330660648,0.9879918918386572,0.9958036722510611,0.9918808178783347,0.966076398129488,0.9895128613350639,0.9897194196778282,0.9978800782315913,0.9937820487518506,0.9717889102650723,,,,,
stock-2018,0.7177615439132095,0.712014784510205,0.7937717652259414,0.7504587533973903,0.7119380287471622,0.7521132039470098,0.8576194925733891,0.6440324283308645,0.7352062406960641,0.760339864014307,0.8025809118828254,0.7735381423201828,0.8933160217295784,0.8288669191725615,0.7957773041478318,0.8223065338276182,0.811175311894047,0.8716403073473359,0.8398037533189777,0.8186823890275493,,,,,
gilani-2017,0.7146670758555137,0.739448752673912,0.5316243020695911,0.6180477845986843,0.6936204731260307,0.754581316692987,0.6974041699761917,0.7721198630936,0.732315631135757,0.7567425874393238,0.773820864795054,0.7733823067059633,0.6839127275820299,0.7226164155117542,0.7635130184315199,0.7895976522789899,0.8052676403401027,0.6846169530151779,0.7381288747802588,0.7774051150315124,,,,,
cresci-2017,0.9766141741441373,0.9829752820381248,0.9862324375964585,0.9845979781680058,0.9663918747550653,0.9779372454606955,0.9826690277944443,0.9883453068829067,0.9854977821061528,0.9667753005687107,0.9780756973965028,0.9831092772437315,0.9880875406712508,0.9855891886822519,0.9673478843515528,0.9799554356317227,0.9893915551464824,0.984128306397259,0.9867500674327591,0.9754994222598026,,,,,
cresci-2015,0.9190715458275113,0.9338018753849319,0.9382511208599038,0.9359601258545182,0.9123786940167529,0.9239768626552307,0.9893740934730477,0.889176688538828,0.9365554498506304,0.9363809123584289,0.9771713552752308,0.9871124034040948,0.9767425555755953,0.981808533711126,0.9773785599903203,0.9769828538614702,0.9841237256524712,0.9794048589532641,0.9817354173726514,0.9761448391879078,,,,,
yang-2013,0.9168185267666875,0.5377396499522723,0.583630498766993,0.5589594414575452,0.7668142060300638,0.9516335098551826,0.8469702402818744,0.5749736192075883,0.6845160550287415,0.782228201435304,0.9542736411417561,0.8854634705575222,0.5722939229390238,0.6944557178426746,0.7822858954653956,0.9550893822893883,0.8932628732073592,0.5760492161824541,0.6988297107100656,0.7845237071019217,,,,,
caverlee-2011,0.7652954093757848,0.9978388534469035,0.5629356517035998,0.7197713376696631,0.7807634064988827,0.9055158539931506,0.9096124686085261,0.9144166757173029,0.9119902297594578,0.9048775903660354,0.9057566639615455,0.9098460693245938,0.914642467368445,0.9122336562615196,0.9050795244155951,0.928913891498032,0.9335473721912966,0.9337672618118633,0.9336262029084113,0.9285575514426068,,,,,
