,simple_df,spammers_df,fake_followers_df,self_declared_df,political_bots_df,other_bots
simple_df,0.8565450209242677,0.628125,0.8475160993560258,0.4484240687679083,0.5080645161290323,0.5638489208633094
spammers_df,0.823125,0.746875,0.814375,0.42550143266475643,0.9596774193548387,0.4766187050359712
fake_followers_df,0.8086476540938362,0.63625,0.8829346826126955,0.4706303724928367,0.5645161290322581,0.5809352517985612
self_declared_df,0.5071633237822349,0.5286532951289399,0.47707736389684813,0.8982808022922636,0.4435483870967742,0.5764388489208633
political_bots_df,0.7016129032258065,0.5887096774193549,0.5806451612903226,0.4435483870967742,0.9354838709677419,0.5241935483870968
other_bots,0.3606115107913669,0.5170863309352518,0.3327338129496403,0.6447841726618705,0.3629032258064516,0.7086330935251799
