,twibot_2020_one_hot,botometer_feedback_2019_one_hot,cresci_rtbust_2019_one_hot,gilani_2017_one_hot,cresci_2017_one_hot,cresci_2015_one_hot,cresci_stock_2018_one_hot,yang_2013_one_hot
twibot_2020_one_hot,1.0,0.3448940269749518,0.49783549783549785,0.5693168198162205,0.7751948775055679,0.6498773816261083,0.5461735462488702,0.2621818181818182
botometer_feedback_2019_one_hot,0.48151727470403477,0.9980732177263969,0.5281385281385281,0.6368357970435478,0.45657015590200445,0.511790228258819,0.4740885808978608,0.2750909090909091
cresci_rtbust_2019_one_hot,0.45542401546267214,0.6763005780346821,1.0,0.5825009988014382,0.519000556792873,0.44406715714016226,0.6529075022597168,0.6869090909090909
gilani_2017_one_hot,0.48151727470403477,0.7283236994219653,0.49206349206349204,0.9924091090691171,0.4466174832962138,0.22901339369930201,0.43695390177764387,0.3541818181818182
cresci_2017_one_hot,0.4784972215510993,0.7784200385356455,0.5266955266955267,0.5769077107471035,1.0,0.860403697415582,0.46520036155468514,0.25054545454545457
cresci_2015_one_hot,0.4604977047596038,0.651252408477842,0.4906204906204906,0.5629244906112665,0.5985523385300668,1.0,0.46723410665863213,0.8377272727272728
cresci_stock_2018_one_hot,0.46448417492147864,0.6820809248554913,0.5815295815295816,0.5629244906112665,0.31646714922048996,0.3936993020184871,1.0,0.9087272727272727
yang_2013_one_hot,0.4422565837158734,0.7398843930635838,0.4906204906204906,0.5637235317618857,0.3569042316258352,0.38521033767213736,0.4650497137692076,0.9998181818181818
