,simple_df,spammers_df,fake_followers_df,self_declared_df,political_bots_df,other_bots
simple_df,0.8596398538282041,0.47761194029850745,0.8515117581187011,0.017857142857142856,0.08955223880597016,0.4106925880923451
spammers_df,0.8203174603174603,0.7153900210822207,0.8104658583280152,0.05647058823529412,0.9612403100775194,0.17796610169491528
fake_followers_df,0.7943648047454276,0.5182119205298014,0.8842918845192089,0.02890932982917214,0.2894736842105263,0.4071246819338422
self_declared_df,0.18867924528301888,0.2985074626865672,0.03183023872679045,0.8945022288261516,0.0,0.3609226594301221
political_bots_df,0.6021505376344086,0.31999999999999995,0.36585365853658536,0.028169014084507043,0.9393939393939393,0.09230769230769231
other_bots,0.22464558342420934,0.24684431977559604,0.18640350877192982,0.6754313886606409,0.0,0.6407982261640799
