,twibot_2020_one_hot,botometer_feedback_2019_one_hot,cresci_rtbust_2019_one_hot,gilani_2017_one_hot,cresci_2017_one_hot,cresci_2015_one_hot,cresci_stock_2018_one_hot,yang_2013_one_hot
twibot_2020_one_hot,1.0,0.4370860927152318,0.6498993963782698,0.5004633920296572,0.8666171126527915,0.782516990860089,0.6908512494227512,0.1875875875875876
botometer_feedback_2019_one_hot,0.24089140431552883,0.996415770609319,0.2232779097387173,0.35210263720598717,0.44788573044831004,0.38145315487571707,0.07937763713080168,0.18798370672097758
cresci_rtbust_2019_one_hot,0.24489112227805693,0.3731343283582089,1.0,0.3156516044531762,0.6010045609375901,0.4685302073940487,0.6657478601479763,0.29570552147239265
gilani_2017_one_hot,0.2970848345889289,0.4149377593360995,0.17757009345794392,0.991264367816092,0.47542389654944905,0.1027442371020856,0.08315957316325279,0.06550907655880031
cresci_2017_one_hot,0.26619071902090774,0.46009389671361506,0.6561844863731656,0.24086021505376345,1.0,0.9005643644181671,0.03767958796421795,0.1952362358453729
cresci_2015_one_hot,0.1307901907356948,0.20264317180616742,0.0,0.005454545454545455,0.6711141521268105,1.0,0.015039688065729006,0.41494591937069814
cresci_stock_2018_one_hot,0.12615809185886062,0.11764705882352941,0.4313725490196078,0.019713261648745522,0.21021310816244473,0.0987100392596747,1.0,0.0
yang_2013_one_hot,0.017868538608806637,0.055944055944055944,0.0,0.0036496350364963502,0.2638623326959847,0.0626977279263733,0.0,0.998998998998999
