name,a1,p1,r1,f1,ba1,a2,p2,r2,f2,ba2,a3,p3,r3,f3,ba3,a4,p4,r4,f4,ba4,a5,p5,r5,f5,ba5
twibot-2020,0.8165680473372781,0.7467911318553092,1.0,0.8550434201736806,0.7829295154185022,0.8165680473372781,0.7467911318553092,1.0,0.8550434201736806,0.7829019823788547,0.8165680473372781,0.7467911318553092,1.0,0.8550434201736806,0.7837830396475771,0.8055790363482671,0.7556109725685786,0.946875,0.8404993065187241,0.7891244493392071,0.8106508875739645,0.7587064676616916,0.953125,0.8448753462603878,0.792318281938326
feedback-2019,0.770873786407767,0.8433333333333334,0.17601920122887865,0.28803946803946806,0.585978835978836,0.7476101568334579,0.76,0.19326515778128683,0.27962615454193473,0.6585978835978836,0.8014749813293502,0.677991452991453,0.510896551724138,0.5778091028784831,0.7011904761904761,0.7996639283047051,0.6836904761904762,0.49127506953593914,0.5635566961064559,0.6801587301587302,0.776530993278566,0.5989789196310935,0.5413106137466538,0.5638819568231332,0.6690476190476191
rtbust-2019,0.6795252848815838,0.641554198244539,0.8489825653798256,0.7294471181984703,0.6716876797168767,0.6565877225227117,0.6456451787651338,0.7110540714871603,0.6752994307796415,0.6678057951780579,0.698251325946542,0.7049222678450369,0.717488095646931,0.706794110866509,0.6661800486618005,0.7013600798193562,0.6938727095618444,0.7729446682835237,0.7252227799959285,0.7077195310771953,0.7403770414325475,0.741319892881432,0.7729728016481447,0.7516929572464115,0.7276598097765982
gilani-2017,0.8072079350822006,0.8426067884806756,0.6744698334884549,0.7425692464112847,0.7964503301329571,0.8223250516581071,0.7835905923471251,0.8355826726197868,0.805983151366078,0.8109257719447438,0.8259001126291619,0.8212794123922995,0.7599042244247584,0.7824003968971496,0.8205062978516666,0.8137714397574713,0.7977645169766467,0.774236720468298,0.7811666074491586,0.8243948427307436,0.8255568069223846,0.8149624136839795,0.7711022527157836,0.7894742961331602,0.8131241573040576
cresci-2017,0.9766139318411347,0.9829986594575365,0.9862455299043285,0.9846167338475297,0.9719353969274149,0.97821589391393,0.9830090486602107,0.9883364758787527,0.9856647328908688,0.9702098148570479,0.9782160392957318,0.9831887600052397,0.9881696872458227,0.9856700939471466,0.9725096925341571,0.9798857008275131,0.9897256144975597,0.9836473188417314,0.9866745253162094,0.9743806107851471,0.9823915984826016,0.9899031762098618,0.9868621479863415,0.9883770473108084,0.9779785623950407
cresci-2015,0.919639190103765,0.9346997927030853,0.938663092976252,0.9366081180289862,0.9153791068812124,0.9245409402065313,0.9896746908212137,0.8898435978044852,0.9371032080398314,0.932581147616722,0.9696348654497594,0.9899496313432945,0.9616376227982062,0.9755091116156619,0.9643584091239094,0.9779317810351884,0.9846798722712826,0.9802831441324461,0.982470009517917,0.9825616774687488,0.9826436030342129,0.9892333998247735,0.9832447122492972,0.9862143247815419,0.9779522024367384
caverlee-2011,0.7654401967431117,0.9993676629345177,0.5623209480939062,0.7196501113938263,0.7809975094718071,0.905708535068095,0.908959885875058,0.9156048109408312,0.9122510039146394,0.9053485349749046,0.9058772823551102,0.9101081963353735,0.9145534143190446,0.9123189394498498,0.9044147938464903,0.9294199620508785,0.9326881602184425,0.9357486689386013,0.9342038631098554,0.9288748838506136,0.9332032513715545,0.9277791368733718,0.9491600461422299,0.9383374058931111,0.9312614386998078
midterm-2018,0.9746328999663323,0.9836007169848748,0.9862445459417204,0.984920511259156,0.9511862224976735,0.9833392552595045,0.9863612537866387,0.9939229081523294,0.9901200496874514,0.9603928120965367,0.9864062817787957,0.9871882178111878,0.996751209628535,0.9919453510604189,0.9729980681497503,0.9893941708980964,0.9895845776634514,0.9978800622021111,0.9937147840451562,0.9831314418079277,0.9905417924178618,0.9897769449693049,0.9990585157877139,0.994395759416582,0.9870243167211014
yang-2013,0.916818112978949,0.540001037972224,0.5810936308108998,0.5587963159525872,0.8370412352955994,0.9519984292617447,0.8450198411352533,0.5799965181914596,0.6871021538703452,0.8705206680269025,0.9513664926275439,0.9023108910714391,0.5271395788166563,0.6631468380565005,0.8810511599788408,0.9558138418619123,0.8867528601247991,0.5916593576499307,0.7082479773653878,0.8695042696289578,0.9582707893166627,0.9004573276872646,0.6034272463648973,0.7219604072983411,0.8674903649965993
cresci-stock-2018,0.716933571389631,0.7189695702502207,0.772911339669071,0.7448608223065918,0.713071214378047,0.7533900307110797,0.8591929972440431,0.6450681060570304,0.7366421653599501,0.7607698869415154,0.8049142270439222,0.7757298927962151,0.8939869949384505,0.8305964754171715,0.7983482831252173,0.822611940976576,0.8305682670212079,0.8415637543867074,0.8346030915824013,0.8245875629105178,0.8361746760798852,0.8278298586733221,0.8761392349756697,0.8510675203370948,0.833816888562261
pan-2019,0.8936866223207687,0.9448899890853051,0.8357703652910008,0.8869806922306853,0.8936718403547672,0.9118935698447894,0.9486792233447293,0.8715675804821957,0.9081408573918088,0.9109283074648928,0.924277900960828,0.9287849709164936,0.9196092173900168,0.9239729485354078,0.9238063562453807,0.9339763488543976,0.9521162904197077,0.9134089948491088,0.9323538984179669,0.9373850702143385,0.9446607538802659,0.9594896036238103,0.9285682043167519,0.943689839878593,0.943189948263119
