,twibot_2020_one_hot,botometer_feedback_2019_one_hot,cresci_rtbust_2019_one_hot,gilani_2017_one_hot,cresci_2017_one_hot,cresci_2015_one_hot,cresci_stock_2018_one_hot,yang_2013_one_hot
twibot_2020_one_hot,0.8096158492389466,0.31021194605009633,0.5108225108225108,0.5125848981222533,0.7595350779510023,0.6336540275419732,0.5452696595360048,0.2994545454545455
botometer_feedback_2019_one_hot,0.4817588789562696,0.8208092485549133,0.5266955266955267,0.5777067518977227,0.289532293986637,0.3665346161101679,0.4468966556191624,0.21436363636363637
cresci_rtbust_2019_one_hot,0.5925344286059435,0.5510597302504817,0.7344877344877345,0.5325609268877347,0.1402422048997773,0.6855310318807772,0.6635281711358842,0.8305454545454546
gilani_2017_one_hot,0.42474027542884757,0.7533718689788054,0.48773448773448774,0.7502996404314822,0.23510579064587972,0.36483682324089795,0.4552576077131666,0.8896363636363637
cresci_2017_one_hot,0.4753563662720464,0.7610789980732178,0.5281385281385281,0.5789053136236516,0.9784242761692651,0.7577815506508206,0.45827056342271766,0.24681818181818183
cresci_2015_one_hot,0.493959893694129,0.6994219653179191,0.4906204906204906,0.5529364762285258,0.5796213808463252,0.9790605546123373,0.4706236818318771,0.8808181818181818
cresci_stock_2018_one_hot,0.48272529596520897,0.5703275529865125,0.5858585858585859,0.5265681182580902,0.7275890868596881,0.35823429541595925,0.8080747213015969,0.9137272727272727
yang_2013_one_hot,0.46520898767818314,0.720616570327553,0.4906204906204906,0.5561326408310028,0.4679844097995546,0.7755140539520845,0.4650497137692076,0.9557272727272728
